"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 15:09:30,6.43 W,542 mW,0 W,11.5 W
2024-12-18 15:09:45,6.46 W,639 mW,0 W,11.5 W
2024-12-18 15:10:00,5.61 W,664 mW,0 W,11.6 W
2024-12-18 15:10:15,5.40 W,438 mW,0 W,11.4 W
2024-12-18 15:10:30,5.12 W,463 mW,0 W,11.3 W
2024-12-18 15:10:45,6.13 W,517 mW,0 W,11.4 W
2024-12-18 15:11:00,5.84 W,344 mW,0 W,11.5 W
2024-12-18 15:11:15,5.65 W,344 mW,0 W,11.5 W
2024-12-18 15:11:30,5.96 W,155 mW,0 W,12.9 W
2024-12-18 15:11:45,6.15 W,104 mW,0 W,13.1 W
2024-12-18 15:12:00,5.55 W,51.9 mW,0 W,13.1 W
2024-12-18 15:12:15,5.59 W,155 mW,0 W,13.0 W
2024-12-18 15:12:30,6.04 W,77.7 mW,0 W,13.0 W
2024-12-18 15:12:45,5.98 W,159 mW,0 W,13.3 W
2024-12-18 15:13:00,6.63 W,105 mW,0 W,13.2 W
2024-12-18 15:13:15,6.65 W,155 mW,0 W,12.9 W
2024-12-18 15:13:30,6.23 W,52.2 mW,0 W,13.1 W
2024-12-18 15:13:45,5.83 W,275 mW,0 W,12.1 W
2024-12-18 15:14:00,6.63 W,548 mW,0 W,11.7 W
2024-12-18 15:14:15,6.73 W,614 mW,0 W,11.5 W
2024-12-18 15:14:30,5.63 W,364 mW,0 W,11.3 W
2024-12-18 15:14:45,6.85 W,636 mW,0 W,11.5 W
2024-12-18 15:15:00,6.12 W,367 mW,0 W,11.5 W
2024-12-18 15:15:15,5.92 W,494 mW,0 W,11.6 W
2024-12-18 15:15:30,6.07 W,442 mW,0 W,11.5 W
2024-12-18 15:15:45,5.93 W,273 mW,0 W,11.6 W
2024-12-18 15:16:00,5.99 W,222 mW,0 W,11.8 W
2024-12-18 15:16:15,5.67 W,129 mW,0 W,12.9 W
2024-12-18 15:16:30,6.05 W,158 mW,0 W,13.3 W
2024-12-18 15:16:45,6.78 W,104 mW,0 W,13.1 W
2024-12-18 15:17:00,6.78 W,104 mW,0 W,13.0 W
2024-12-18 15:17:15,7.25 W,155 mW,0 W,13.0 W
2024-12-18 15:17:30,7.07 W,103 mW,0 W,13.0 W
2024-12-18 15:17:45,7.11 W,156 mW,0 W,13.1 W
2024-12-18 15:18:00,6.37 W,51.6 mW,0 W,13.0 W
2024-12-18 15:18:15,5.93 W,379 mW,0 W,12.4 W
2024-12-18 15:18:30,6.20 W,642 mW,0 W,11.5 W
2024-12-18 15:18:45,6.60 W,371 mW,0 W,11.6 W
2024-12-18 15:19:00,6.55 W,319 mW,0 W,11.5 W
2024-12-18 15:19:15,6.18 W,172 mW,0 W,11.4 W
2024-12-18 15:19:30,6.36 W,665 mW,0 W,11.5 W
2024-12-18 15:19:45,6.47 W,490 mW,0 W,11.5 W
2024-12-18 15:20:00,5.56 W,289 mW,0 W,11.2 W
2024-12-18 15:20:15,5.32 W,604 mW,0 W,11.3 W
2024-12-18 15:20:30,6.39 W,282 mW,0 W,12.6 W
2024-12-18 15:20:45,6.93 W,103 mW,0 W,13.0 W
2024-12-18 15:21:00,5.83 W,105 mW,0 W,13.2 W
2024-12-18 15:21:15,5.86 W,104 mW,0 W,13.1 W
2024-12-18 15:21:30,6.27 W,129 mW,0 W,12.9 W
2024-12-18 15:21:45,6.71 W,130 mW,0 W,13.1 W
2024-12-18 15:22:00,5.32 W,130 mW,0 W,13.1 W
2024-12-18 15:22:15,5.39 W,102 mW,0 W,12.8 W
2024-12-18 15:22:30,6.36 W,103 mW,0 W,12.9 W
2024-12-18 15:22:45,6.31 W,230 mW,0 W,12.4 W
2024-12-18 15:23:00,5.57 W,515 mW,0 W,11.5 W
2024-12-18 15:23:15,6.25 W,294 mW,0 W,11.4 W
2024-12-18 15:23:30,5.61 W,342 mW,0 W,11.5 W
2024-12-18 15:23:45,6.03 W,440 mW,0 W,11.5 W
2024-12-18 15:24:00,5.87 W,393 mW,0 W,11.6 W
2024-12-18 15:24:15,5.85 W,441 mW,0 W,11.4 W
2024-12-18 15:24:30,6.76 W,488 mW,0 W,11.4 W
2024-12-18 15:24:45,6.53 W,497 mW,0 W,11.6 W
2024-12-18 15:25:00,6.45 W,158 mW,0 W,13.2 W
2024-12-18 15:25:15,6.16 W,132 mW,0 W,13.4 W
2024-12-18 15:25:30,2.04 W,102 mW,0 W,12.8 W
2024-12-18 15:25:45,2.27 W,75.8 mW,0 W,12.7 W
