"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 14:15:45,4.59 W,155 mW,0 W,13.0 W
2024-12-19 14:16:00,5.18 W,155 mW,0 W,13.0 W
2024-12-19 14:16:15,5.15 W,77.3 mW,0 W,12.9 W
2024-12-19 14:16:30,4.44 W,415 mW,0 W,11.3 W
2024-12-19 14:16:45,5.21 W,528 mW,0 W,11.1 W
2024-12-19 14:17:00,4.78 W,558 mW,0 W,11.2 W
2024-12-19 14:17:15,5.52 W,434 mW,0 W,11.2 W
2024-12-19 14:17:30,4.71 W,317 mW,0 W,11.3 W
2024-12-19 14:17:45,5.44 W,340 mW,0 W,11.3 W
2024-12-19 14:18:00,4.70 W,489 mW,0 W,11.3 W
2024-12-19 14:18:15,4.90 W,461 mW,0 W,11.2 W
2024-12-19 14:18:30,5.34 W,77.4 mW,0 W,13.0 W
2024-12-19 14:18:45,4.66 W,155 mW,0 W,13.0 W
2024-12-19 14:19:00,4.45 W,52.3 mW,0 W,13.1 W
2024-12-19 14:19:15,5.41 W,129 mW,0 W,13.0 W
2024-12-19 14:19:30,5.13 W,77.0 mW,0 W,12.9 W
2024-12-19 14:19:45,4.98 W,130 mW,0 W,13.0 W
2024-12-19 14:20:00,5.28 W,157 mW,0 W,13.2 W
2024-12-19 14:20:15,4.70 W,222 mW,0 W,11.6 W
2024-12-19 14:20:30,4.82 W,624 mW,0 W,11.1 W
