"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 20:01:00,0 B,47.0 MB,0 B,0 B,106 kB
2025-01-17 20:01:15,0 B,56.0 MB,0 B,0 B,41.0 kB
2025-01-17 20:01:30,0 B,84.4 MB,0 B,0 B,41.0 kB
2025-01-17 20:01:45,0 B,13.1 MB,0 B,0 B,49.2 kB
2025-01-17 20:02:00,0 B,49.6 MB,0 B,0 B,111 kB
2025-01-17 20:02:15,0 B,1.92 MB,0 B,0 B,20.5 kB
2025-01-17 20:02:30,0 B,74.3 MB,0 B,0 B,24.6 kB
2025-01-17 20:02:45,0 B,56.1 MB,0 B,0 B,24.6 kB
2025-01-17 20:03:00,0 B,14.4 MB,0 B,0 B,24.6 kB
2025-01-17 20:03:15,0 B,205 MB,0 B,0 B,28.7 kB
2025-01-17 20:03:30,0 B,8.93 MB,0 B,0 B,28.7 kB
2025-01-17 20:03:45,0 B,66.3 MB,0 B,0 B,28.7 kB
2025-01-17 20:04:00,0 B,3.91 MB,0 B,0 B,28.7 kB
2025-01-17 20:04:15,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 20:04:30,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 20:04:45,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 20:05:00,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 20:05:15,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 20:05:30,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 20:05:45,0 B,846 MB,0 B,0 B,36.9 kB
2025-01-17 20:06:00,0 B,932 MB,0 B,0 B,41.0 kB
2025-01-17 20:06:15,0 B,592 MB,0 B,0 B,41.0 kB
2025-01-17 20:06:30,0 B,468 MB,0 B,0 B,41.0 kB
2025-01-17 20:06:45,0 B,297 MB,0 B,0 B,49.2 kB
2025-01-17 20:07:00,0 B,20.5 MB,0 B,0 B,20.5 kB
2025-01-17 20:07:15,0 B,15.3 MB,0 B,0 B,20.5 kB
2025-01-17 20:07:30,0 B,13.8 MB,0 B,0 B,24.6 kB
2025-01-17 20:07:45,0 B,11.8 MB,0 B,73.7 kB,24.6 kB
2025-01-17 20:08:00,0 B,148 MB,0 B,0 B,24.6 kB
2025-01-17 20:08:15,0 B,125 MB,0 B,0 B,45.1 kB
2025-01-17 20:08:30,0 B,217 MB,0 B,0 B,28.7 kB
2025-01-17 20:08:45,0 B,186 MB,0 B,0 B,28.7 kB
2025-01-17 20:09:00,0 B,151 MB,0 B,0 B,32.8 kB
2025-01-17 20:09:15,0 B,165 MB,0 B,0 B,98.3 kB
2025-01-17 20:09:30,0 B,272 MB,0 B,0 B,32.8 kB
2025-01-17 20:09:45,0 B,265 MB,0 B,0 B,36.9 kB
2025-01-17 20:10:00,0 B,333 MB,0 B,0 B,36.9 kB
2025-01-17 20:10:15,0 B,255 MB,0 B,0 B,102 kB
2025-01-17 20:10:30,0 B,249 MB,0 B,0 B,41.0 kB
2025-01-17 20:10:45,0 B,192 MB,0 B,0 B,45.1 kB
2025-01-17 20:11:00,0 B,208 MB,0 B,0 B,41.0 kB
2025-01-17 20:11:15,0 B,68.3 MB,0 B,0 B,168 kB
2025-01-17 20:11:30,0 B,68.6 MB,0 B,0 B,45.1 kB
2025-01-17 20:11:45,0 B,43.6 MB,0 B,0 B,53.2 kB
2025-01-17 20:12:00,0 B,35.9 MB,0 B,36.9 kB,20.5 kB
2025-01-17 20:12:15,0 B,23.8 MB,0 B,0 B,139 kB
2025-01-17 20:12:30,0 B,164 MB,0 B,0 B,24.6 kB
2025-01-17 20:12:45,0 B,7.88 MB,0 B,0 B,24.6 kB
2025-01-17 20:13:00,0 B,0 B,0 B,0 B,24.6 kB
2025-01-17 20:13:15,0 B,0 B,0 B,0 B,106 kB
2025-01-17 20:13:30,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 20:13:45,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 20:14:00,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 20:14:15,0 B,0 B,0 B,0 B,94.2 kB
2025-01-17 20:14:30,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 20:14:45,0 B,1.83 GB,0 B,0 B,32.8 kB
2025-01-17 20:15:00,0 B,710 MB,0 B,0 B,36.9 kB
2025-01-17 20:15:15,0 B,308 MB,0 B,0 B,98.3 kB
2025-01-17 20:15:30,0 B,451 MB,0 B,0 B,45.1 kB
2025-01-17 20:15:45,0 B,26.0 MB,0 B,0 B,41.0 kB
2025-01-17 20:16:00,0 B,106 MB,0 B,0 B,41.0 kB
2025-01-17 20:16:15,0 B,45.2 MB,0 B,0 B,41.0 kB
2025-01-17 20:16:30,0 B,15.3 MB,0 B,0 B,115 kB
2025-01-17 20:16:45,0 B,32.9 MB,0 B,0 B,53.2 kB
2025-01-17 20:17:00,0 B,174 MB,0 B,0 B,20.5 kB
2025-01-17 20:17:15,0 B,161 MB,0 B,0 B,20.5 kB
2025-01-17 20:17:30,0 B,230 MB,0 B,0 B,127 kB
