"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-17 19:13:30,0 B,0 B,0 B,0 B
2024-12-17 19:13:45,0 B,0 B,0 B,0 B
2024-12-17 19:14:00,0 B,0 B,0 B,0 B
2024-12-17 19:14:15,0 B,4.10 kB,0 B,0 B
2024-12-17 19:14:30,0 B,4.10 kB,0 B,0 B
2024-12-17 19:14:45,0 B,0 B,0 B,0 B
2024-12-17 19:15:00,0 B,4.10 kB,0 B,0 B
2024-12-17 19:15:15,0 B,0 B,0 B,0 B
2024-12-17 19:15:30,0 B,4.10 kB,0 B,0 B
2024-12-17 19:15:45,0 B,0 B,0 B,0 B
2024-12-17 19:16:00,0 B,16.4 kB,0 B,0 B
2024-12-17 19:16:15,0 B,8.19 kB,0 B,0 B
2024-12-17 19:16:30,0 B,0 B,0 B,0 B
2024-12-17 19:16:45,0 B,4.10 kB,0 B,0 B
2024-12-17 19:17:00,0 B,12.3 kB,0 B,0 B
2024-12-17 19:17:15,0 B,0 B,0 B,0 B
2024-12-17 19:17:30,0 B,0 B,0 B,0 B
2024-12-17 19:17:45,0 B,0 B,0 B,0 B
2024-12-17 19:18:00,0 B,0 B,0 B,0 B
2024-12-17 19:18:15,0 B,0 B,0 B,0 B
2024-12-17 19:18:30,0 B,0 B,0 B,0 B
2024-12-17 19:18:45,0 B,0 B,0 B,0 B
2024-12-17 19:19:00,0 B,0 B,0 B,0 B
2024-12-17 19:19:15,0 B,8.19 kB,0 B,0 B
2024-12-17 19:19:30,0 B,0 B,0 B,0 B
2024-12-17 19:19:45,0 B,0 B,0 B,0 B
2024-12-17 19:20:00,0 B,20.5 kB,0 B,0 B
2024-12-17 19:20:15,0 B,8.19 kB,0 B,0 B
2024-12-17 19:20:30,0 B,0 B,0 B,0 B
2024-12-17 19:20:45,0 B,0 B,0 B,0 B
2024-12-17 19:21:00,0 B,0 B,0 B,0 B
2024-12-17 19:21:15,0 B,8.19 kB,0 B,0 B
2024-12-17 19:21:30,0 B,0 B,0 B,0 B
2024-12-17 19:21:45,0 B,0 B,0 B,0 B
2024-12-17 19:22:00,0 B,0 B,0 B,0 B
2024-12-17 19:22:15,0 B,0 B,0 B,0 B
2024-12-17 19:22:30,0 B,0 B,0 B,0 B
2024-12-17 19:22:45,0 B,0 B,0 B,0 B
2024-12-17 19:23:00,0 B,4.10 kB,0 B,0 B
2024-12-17 19:23:15,0 B,0 B,0 B,0 B
2024-12-17 19:23:30,0 B,4.10 kB,0 B,0 B
2024-12-17 19:23:45,0 B,12.3 kB,0 B,0 B
2024-12-17 19:24:00,0 B,0 B,0 B,0 B
2024-12-17 19:24:15,0 B,0 B,0 B,0 B
2024-12-17 19:24:30,0 B,0 B,0 B,0 B
2024-12-17 19:24:45,0 B,4.10 kB,0 B,0 B
2024-12-17 19:25:00,0 B,16.4 kB,0 B,0 B
2024-12-17 19:25:15,0 B,0 B,0 B,0 B
2024-12-17 19:25:30,0 B,4.10 kB,0 B,0 B
2024-12-17 19:25:45,0 B,16.4 kB,0 B,0 B
2024-12-17 19:26:00,0 B,24.6 kB,0 B,0 B
2024-12-17 19:26:15,0 B,8.19 kB,0 B,0 B
2024-12-17 19:26:30,0 B,0 B,0 B,0 B
2024-12-17 19:26:45,0 B,0 B,0 B,0 B
2024-12-17 19:27:00,0 B,0 B,0 B,0 B
2024-12-17 19:27:15,0 B,0 B,0 B,0 B
2024-12-17 19:27:30,0 B,16.4 kB,0 B,0 B
2024-12-17 19:27:45,0 B,4.10 kB,0 B,0 B
2024-12-17 19:28:00,0 B,3.99 MB,0 B,0 B
2024-12-17 19:28:15,0 B,1.34 MB,0 B,0 B
2024-12-17 19:28:30,0 B,1.38 MB,0 B,0 B
2024-12-17 19:28:45,0 B,1.97 MB,0 B,0 B
2024-12-17 19:29:00,0 B,40.4 MB,0 B,0 B
2024-12-17 19:29:15,0 B,28.6 MB,0 B,0 B
2024-12-17 19:29:30,0 B,5.87 MB,0 B,0 B
2024-12-17 19:29:45,0 B,3.40 MB,0 B,0 B
2024-12-17 19:30:00,0 B,831 kB,0 B,0 B
2024-12-17 19:30:15,0 B,0 B,0 B,0 B
2024-12-17 19:30:30,0 B,0 B,0 B,0 B
2024-12-17 19:30:45,0 B,0 B,0 B,0 B
2024-12-17 19:31:00,0 B,0 B,4.10 kB,0 B
2024-12-17 19:31:15,0 B,4.10 kB,0 B,0 B
2024-12-17 19:31:30,0 B,1.77 MB,0 B,0 B
2024-12-17 19:31:45,0 B,954 kB,0 B,0 B
2024-12-17 19:32:00,0 B,86.0 kB,0 B,0 B
2024-12-17 19:32:15,0 B,57.3 kB,0 B,0 B
