"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 18:07:30,0 W,5.40 W,160 mW,53.2 mW,13.4 W
2025-01-17 18:07:45,0 W,4.58 W,80.0 mW,26.7 mW,13.4 W
2025-01-17 18:08:00,0 W,4.78 W,160 mW,53.4 mW,13.5 W
2025-01-17 18:08:15,0 W,4.74 W,108 mW,0 W,13.5 W
2025-01-17 18:08:30,0 W,4.82 W,135 mW,80.8 mW,13.5 W
2025-01-17 18:08:45,0 W,4.31 W,79.9 mW,0 W,13.4 W
2025-01-17 18:09:00,0 W,4.38 W,325 mW,25.0 mW,11.6 W
2025-01-17 18:09:15,0 W,4.70 W,600 mW,50.0 mW,11.6 W
2025-01-17 18:09:30,0 W,4.88 W,377 mW,0 W,11.8 W
2025-01-17 18:09:45,0 W,4.87 W,513 mW,128 mW,12.0 W
2025-01-17 18:10:00,0 W,4.88 W,500 mW,25.0 mW,11.7 W
2025-01-17 18:10:15,0 W,4.42 W,699 mW,25.0 mW,11.6 W
2025-01-17 18:10:30,0 W,4.65 W,503 mW,226 mW,11.8 W
2025-01-17 18:10:45,0 W,4.62 W,482 mW,50.7 mW,11.8 W
2025-01-17 18:11:00,0 W,4.63 W,550 mW,25.0 mW,11.6 W
2025-01-17 18:11:15,0 W,4.57 W,133 mW,53.1 mW,13.4 W
2025-01-17 18:11:30,0 W,3.97 W,81.0 mW,27.0 mW,13.7 W
2025-01-17 18:11:45,0 W,3.89 W,190 mW,54.3 mW,13.6 W
2025-01-17 18:12:00,0 W,4.57 W,107 mW,26.7 mW,13.5 W
2025-01-17 18:12:15,0 W,4.65 W,80.3 mW,26.8 mW,13.4 W
2025-01-17 18:12:30,0 W,4.54 W,106 mW,79.6 mW,13.4 W
2025-01-17 18:12:45,0 W,4.98 W,108 mW,27.1 mW,13.7 W
2025-01-17 18:13:00,0 W,5.08 W,108 mW,27.0 mW,13.6 W
2025-01-17 18:13:15,0 W,4.99 W,357 mW,51.0 mW,11.9 W
2025-01-17 18:13:30,0 W,5.17 W,451 mW,25.1 mW,11.6 W
2025-01-17 18:13:45,0 W,5.27 W,256 mW,0 W,11.9 W
