"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 17:21:15,0 W,2.28 W,52.4 mW,26.2 mW,13.3 W
2025-01-17 17:21:30,0 W,2.20 W,175 mW,25.0 mW,12.1 W
2025-01-17 17:21:45,0 W,2.19 W,536 mW,0 W,11.3 W
2025-01-17 17:22:00,0 W,2.08 W,388 mW,24.2 mW,11.1 W
2025-01-17 17:22:15,0 W,2.19 W,511 mW,24.3 mW,11.2 W
2025-01-17 17:22:30,0 W,2.15 W,658 mW,24.4 mW,11.2 W
2025-01-17 17:22:45,0 W,2.37 W,507 mW,217 mW,11.1 W
2025-01-17 17:23:00,0 W,2.42 W,533 mW,48.4 mW,11.1 W
2025-01-17 17:23:15,0 W,2.62 W,470 mW,24.8 mW,11.3 W
2025-01-17 17:23:30,0 W,2.59 W,389 mW,51.9 mW,12.7 W
2025-01-17 17:23:45,0 W,2.36 W,131 mW,52.5 mW,13.2 W
2025-01-17 17:24:00,0 W,2.10 W,78.8 mW,26.3 mW,13.2 W
2025-01-17 17:24:15,0 W,2.18 W,102 mW,51.2 mW,12.8 W
2025-01-17 17:24:30,0 W,2.52 W,103 mW,25.7 mW,12.9 W
2025-01-17 17:24:45,0 W,2.19 W,132 mW,106 mW,13.3 W
2025-01-17 17:25:00,0 W,2.05 W,77.7 mW,0 W,13.0 W
2025-01-17 17:25:15,0 W,2.01 W,319 mW,0 W,11.4 W
2025-01-17 17:25:30,0 W,2.09 W,413 mW,24.3 mW,11.2 W
2025-01-17 17:25:45,0 W,2.03 W,501 mW,23.9 mW,10.9 W
2025-01-17 17:26:00,0 W,1.85 W,359 mW,0 W,11.0 W
2025-01-17 17:26:15,0 W,1.86 W,441 mW,122 mW,11.2 W
2025-01-17 17:26:30,0 W,2.03 W,391 mW,24.4 mW,11.3 W
2025-01-17 17:26:45,0 W,2.52 W,587 mW,220 mW,11.3 W
2025-01-17 17:27:00,0 W,2.71 W,460 mW,24.2 mW,11.2 W
2025-01-17 17:27:15,0 W,2.82 W,130 mW,26.1 mW,13.0 W
2025-01-17 17:27:30,0 W,2.72 W,78.5 mW,26.2 mW,13.1 W
2025-01-17 17:27:45,0 W,2.47 W,130 mW,26.0 mW,13.1 W
2025-01-17 17:28:00,0 W,2.61 W,133 mW,426 mW,13.4 W
2025-01-17 17:28:15,0 W,2.89 W,105 mW,26.2 mW,13.2 W
2025-01-17 17:28:30,0 W,3.09 W,105 mW,78.6 mW,13.2 W
2025-01-17 17:28:45,0 W,2.43 W,131 mW,26.2 mW,13.2 W
2025-01-17 17:29:00,0 W,2.30 W,371 mW,0 W,11.6 W
2025-01-17 17:29:15,0 W,2.17 W,289 mW,0 W,11.1 W
2025-01-17 17:29:30,0 W,2.04 W,656 mW,24.3 mW,11.2 W
2025-01-17 17:29:45,0 W,2.02 W,414 mW,24.3 mW,11.2 W
2025-01-17 17:30:00,0 W,1.95 W,634 mW,24.4 mW,11.2 W
2025-01-17 17:30:15,0 W,2.03 W,539 mW,0 W,11.3 W
2025-01-17 17:30:30,0 W,2.27 W,494 mW,271 mW,11.3 W
2025-01-17 17:30:45,0 W,2.68 W,246 mW,24.6 mW,11.4 W
2025-01-17 17:31:00,0 W,2.72 W,131 mW,26.2 mW,13.2 W
2025-01-17 17:31:15,0 W,2.75 W,130 mW,25.9 mW,13.1 W
2025-01-17 17:31:30,0 W,2.74 W,104 mW,26.1 mW,13.2 W
2025-01-17 17:31:45,0 W,2.47 W,130 mW,26.0 mW,13.2 W
2025-01-17 17:32:00,0 W,2.20 W,103 mW,25.9 mW,13.0 W
2025-01-17 17:32:15,0 W,2.49 W,105 mW,0 W,13.2 W
2025-01-17 17:32:30,0 W,2.91 W,131 mW,78.7 mW,13.2 W
2025-01-17 17:32:45,0 W,2.21 W,437 mW,0 W,11.2 W
2025-01-17 17:33:15,0 W,2.00 W,409 mW,24.1 mW,11.0 W
2025-01-17 17:33:30,0 W,1.89 W,558 mW,48.6 mW,11.2 W
2025-01-17 17:33:45,0 W,2.09 W,289 mW,48.2 mW,11.0 W
2025-01-17 17:34:00,0 W,2.17 W,657 mW,24.3 mW,11.2 W
2025-01-17 17:34:15,0 W,2.40 W,290 mW,48.4 mW,11.1 W
2025-01-17 17:34:30,0 W,2.60 W,569 mW,223 mW,11.4 W
2025-01-17 17:34:45,0 W,2.34 W,105 mW,52.6 mW,13.1 W
2025-01-17 17:35:00,0 W,2.31 W,77.8 mW,25.9 mW,13.1 W
2025-01-17 17:35:15,0 W,2.30 W,78.5 mW,52.4 mW,13.2 W
2025-01-17 17:35:30,0 W,2.25 W,132 mW,26.5 mW,13.3 W
2025-01-17 17:35:45,0 W,1.88 W,133 mW,26.5 mW,13.4 W
2025-01-17 17:36:00,0 W,2.03 W,78.0 mW,26.0 mW,13.1 W
2025-01-17 17:36:15,0 W,2.50 W,105 mW,132 mW,13.0 W
2025-01-17 17:36:30,0 W,2.61 W,105 mW,712 mW,13.3 W
2025-01-17 17:36:45,0 W,1.98 W,530 mW,0 W,11.1 W
2025-01-17 17:37:00,0 W,2.16 W,484 mW,24.2 mW,11.1 W
2025-01-17 17:37:15,0 W,2.07 W,463 mW,24.4 mW,11.2 W
2025-01-17 17:37:30,0 W,2.08 W,484 mW,24.2 mW,11.1 W
2025-01-17 17:37:45,0 W,2.08 W,363 mW,48.4 mW,11.1 W
2025-01-17 17:38:00,0 W,1.98 W,598 mW,23.9 mW,10.9 W
2025-01-17 17:38:15,0 W,2.21 W,462 mW,24.3 mW,11.1 W
2025-01-17 17:38:30,0 W,2.47 W,299 mW,249 mW,11.7 W
2025-01-17 17:38:45,0 W,2.24 W,105 mW,26.3 mW,13.3 W
