"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 14:48:45,0 B,67.1 MB,0 B,0 B,36.9 kB
2025-01-17 14:49:00,0 B,1.05 GB,0 B,0 B,102 kB
2025-01-17 14:49:15,0 B,24.0 MB,0 B,0 B,41.0 kB
2025-01-17 14:49:30,0 B,14.7 MB,0 B,0 B,41.0 kB
2025-01-17 14:49:45,0 B,10.3 MB,0 B,0 B,49.2 kB
2025-01-17 14:50:00,0 B,11.1 MB,0 B,0 B,127 kB
2025-01-17 14:50:15,0 B,41.4 MB,0 B,0 B,20.5 kB
2025-01-17 14:50:30,0 B,74.5 MB,0 B,0 B,24.6 kB
2025-01-17 14:50:45,0 B,127 MB,0 B,0 B,24.6 kB
2025-01-17 14:51:00,0 B,250 MB,0 B,0 B,115 kB
2025-01-17 14:51:15,0 B,204 MB,0 B,0 B,28.7 kB
2025-01-17 14:51:30,0 B,296 MB,0 B,0 B,28.7 kB
2025-01-17 14:51:45,0 B,363 MB,0 B,0 B,28.7 kB
2025-01-17 14:52:00,0 B,355 MB,0 B,0 B,90.1 kB
2025-01-17 14:52:15,0 B,310 MB,0 B,0 B,32.8 kB
2025-01-17 14:52:30,0 B,170 MB,0 B,0 B,32.8 kB
2025-01-17 14:52:45,0 B,123 MB,0 B,53.2 kB,36.9 kB
2025-01-17 14:53:00,0 B,98.0 MB,0 B,0 B,36.9 kB
2025-01-17 14:53:15,0 B,1.72 MB,0 B,0 B,41.0 kB
2025-01-17 14:53:30,0 B,0 B,0 B,0 B,41.0 kB
2025-01-17 14:53:45,0 B,7.31 MB,0 B,0 B,41.0 kB
2025-01-17 14:54:00,0 B,4.70 MB,0 B,0 B,41.0 kB
2025-01-17 14:54:15,0 B,63.6 MB,0 B,0 B,45.1 kB
2025-01-17 14:54:30,0 B,104 MB,0 B,0 B,45.1 kB
2025-01-17 14:54:45,0 B,695 MB,0 B,0 B,53.2 kB
2025-01-17 14:55:00,0 B,9.55 MB,0 B,0 B,20.5 kB
2025-01-17 14:55:15,0 B,2.13 MB,0 B,0 B,20.5 kB
2025-01-17 14:55:30,0 B,2.19 MB,0 B,0 B,24.6 kB
2025-01-17 14:55:45,0 B,39.5 MB,0 B,0 B,24.6 kB
2025-01-17 14:56:00,0 B,44.5 MB,0 B,0 B,24.6 kB
2025-01-17 14:56:15,0 B,93.1 MB,0 B,0 B,28.7 kB
2025-01-17 14:56:30,0 B,282 MB,0 B,0 B,28.7 kB
2025-01-17 14:56:45,0 B,257 MB,0 B,0 B,28.7 kB
2025-01-17 14:57:00,0 B,305 MB,0 B,0 B,32.8 kB
2025-01-17 14:57:15,0 B,318 MB,0 B,0 B,32.8 kB
2025-01-17 14:57:30,0 B,323 MB,0 B,0 B,32.8 kB
2025-01-17 14:57:45,0 B,196 MB,0 B,0 B,36.9 kB
2025-01-17 14:58:00,0 B,223 MB,0 B,0 B,36.9 kB
2025-01-17 14:58:15,0 B,59.8 MB,0 B,0 B,36.9 kB
2025-01-17 14:58:30,0 B,41.2 MB,0 B,0 B,41.0 kB
2025-01-17 14:58:45,0 B,58.6 MB,0 B,0 B,41.0 kB
2025-01-17 14:59:00,0 B,85.2 MB,0 B,0 B,41.0 kB
2025-01-17 14:59:15,0 B,110 MB,0 B,0 B,57.3 kB
2025-01-17 14:59:30,0 B,9.17 MB,0 B,0 B,45.1 kB
2025-01-17 14:59:45,0 B,0 B,0 B,0 B,53.2 kB
2025-01-17 15:00:00,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 15:00:15,0 B,5.62 MB,0 B,36.9 kB,123 kB
2025-01-17 15:00:30,0 B,45.0 MB,0 B,0 B,20.5 kB
2025-01-17 15:00:45,0 B,17.0 MB,0 B,0 B,24.6 kB
2025-01-17 15:01:00,0 B,802 MB,0 B,0 B,24.6 kB
2025-01-17 15:01:15,0 B,509 MB,0 B,0 B,115 kB
2025-01-17 15:01:30,0 B,203 MB,0 B,0 B,28.7 kB
2025-01-17 15:01:45,0 B,125 MB,0 B,0 B,28.7 kB
2025-01-17 15:02:00,0 B,40.3 MB,0 B,53.2 kB,28.7 kB
2025-01-17 15:02:15,0 B,32.2 MB,0 B,0 B,98.3 kB
2025-01-17 15:02:30,0 B,48.6 MB,0 B,0 B,32.8 kB
2025-01-17 15:02:45,0 B,109 MB,0 B,0 B,36.9 kB
2025-01-17 15:03:00,0 B,64.3 MB,0 B,0 B,36.9 kB
2025-01-17 15:03:15,0 B,160 MB,0 B,0 B,102 kB
2025-01-17 15:03:30,0 B,146 MB,0 B,0 B,36.9 kB
2025-01-17 15:03:45,0 B,244 MB,0 B,0 B,45.1 kB
2025-01-17 15:04:00,0 B,189 MB,0 B,0 B,41.0 kB
2025-01-17 15:04:15,0 B,236 MB,0 B,0 B,168 kB
2025-01-17 15:04:30,0 B,230 MB,0 B,0 B,45.1 kB
2025-01-17 15:04:45,0 B,174 MB,0 B,0 B,49.2 kB
2025-01-17 15:05:00,0 B,92.5 MB,0 B,0 B,20.5 kB
2025-01-17 15:05:15,0 B,95.5 MB,0 B,0 B,139 kB
2025-01-17 15:05:30,0 B,58.4 MB,0 B,0 B,24.6 kB
2025-01-17 15:05:45,0 B,88.3 MB,0 B,0 B,24.6 kB
2025-01-17 15:06:00,0 B,40.6 MB,0 B,0 B,24.6 kB
2025-01-17 15:06:15,0 B,67.3 MB,0 B,0 B,111 kB
2025-01-17 15:06:30,0 B,64.4 MB,0 B,0 B,36.9 kB
2025-01-17 15:06:45,0 B,44.3 MB,0 B,0 B,28.7 kB
2025-01-17 15:07:00,0 B,94.2 MB,0 B,0 B,32.8 kB
2025-01-17 15:07:15,0 B,1.57 MB,0 B,0 B,32.8 kB
2025-01-17 15:07:30,0 B,0 B,0 B,0 B,98.3 kB
2025-01-17 15:07:45,0 B,4.20 MB,0 B,0 B,36.9 kB
2025-01-17 15:08:00,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 15:08:15,0 B,5.88 MB,0 B,0 B,36.9 kB
2025-01-17 15:08:30,0 B,49.5 MB,0 B,0 B,94.2 kB
2025-01-17 15:08:45,0 B,802 MB,0 B,0 B,41.0 kB
2025-01-17 15:09:00,0 B,1.43 GB,0 B,0 B,41.0 kB
2025-01-17 15:09:15,0 B,269 MB,0 B,0 B,41.0 kB
2025-01-17 15:09:30,0 B,38.1 MB,0 B,0 B,115 kB
2025-01-17 15:09:45,0 B,26.4 MB,0 B,0 B,53.2 kB
2025-01-17 15:10:00,0 B,8.81 MB,0 B,36.9 kB,20.5 kB
2025-01-17 15:10:15,0 B,69.8 MB,0 B,0 B,20.5 kB
2025-01-17 15:10:30,0 B,220 MB,0 B,0 B,131 kB
