"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 14:47:00,0 W,101 W,177 mW,353 mW,29.1 W
2025-01-17 14:47:15,0 W,111 W,242 mW,0 W,30.4 W
2025-01-17 14:47:30,0 W,531 W,501 mW,100 mW,67.8 W
2025-01-17 14:47:45,0 W,517 W,373 mW,0 W,44.4 W
2025-01-17 14:48:00,0 W,483 W,564 mW,188 mW,80.5 W
2025-01-17 14:48:15,0 W,522 W,340 mW,85.1 mW,38.2 W
2025-01-17 14:48:30,0 W,546 W,536 mW,89.4 mW,76.8 W
2025-01-17 14:48:45,0 W,483 W,576 mW,0 W,35.0 W
2025-01-17 14:49:00,0 W,373 W,315 mW,78.8 mW,60.2 W
2025-01-17 14:49:15,0 W,62.9 W,293 mW,58.7 mW,28.8 W
2025-01-17 14:49:30,0 W,69.0 W,233 mW,0 W,30.4 W
2025-01-17 14:49:45,0 W,76.8 W,295 mW,0 W,30.4 W
2025-01-17 14:50:00,0 W,84.6 W,240 mW,59.9 mW,30.4 W
2025-01-17 14:50:15,0 W,67.6 W,114 mW,56.8 mW,28.9 W
2025-01-17 14:50:30,0 W,81.3 W,294 mW,0 W,29.8 W
2025-01-17 14:50:45,0 W,80.1 W,233 mW,0 W,29.2 W
2025-01-17 14:51:00,0 W,67.6 W,274 mW,54.8 mW,27.3 W
2025-01-17 14:51:15,0 W,50.5 W,130 mW,0 W,21.5 W
2025-01-17 14:51:30,0 W,98.2 W,344 mW,49.1 mW,23.9 W
2025-01-17 14:51:45,0 W,108 W,253 mW,50.7 mW,24.7 W
2025-01-17 14:52:00,0 W,26.4 W,139 mW,69.7 mW,17.3 W
2025-01-17 14:52:15,0 W,86.1 W,140 mW,0 W,22.6 W
2025-01-17 14:52:30,0 W,142 W,297 mW,59.3 mW,28.6 W
2025-01-17 14:52:45,0 W,93.6 W,405 mW,462 mW,30.7 W
2025-01-17 14:53:00,0 W,80.9 W,168 mW,0 W,28.0 W
2025-01-17 14:53:15,0 W,475 W,389 mW,97.3 mW,74.4 W
2025-01-17 14:53:30,0 W,532 W,303 mW,101 mW,47.5 W
2025-01-17 14:53:45,0 W,530 W,462 mW,0 W,65.7 W
2025-01-17 14:54:00,0 W,551 W,463 mW,92.5 mW,58.7 W
2025-01-17 14:54:15,0 W,516 W,346 mW,0 W,55.8 W
2025-01-17 14:54:30,0 W,531 W,621 mW,88.7 mW,62.1 W
2025-01-17 14:54:45,0 W,85.5 W,252 mW,63.0 mW,31.4 W
2025-01-17 14:55:00,0 W,64.1 W,296 mW,0 W,29.6 W
2025-01-17 14:55:15,0 W,54.5 W,212 mW,0 W,26.5 W
2025-01-17 14:55:30,0 W,58.4 W,187 mW,46.7 mW,22.9 W
2025-01-17 14:55:45,0 W,116 W,315 mW,62.9 mW,30.9 W
2025-01-17 14:56:00,0 W,77.7 W,275 mW,0 W,27.4 W
2025-01-17 14:56:15,0 W,65.0 W,313 mW,52.1 mW,26.0 W
2025-01-17 14:56:30,0 W,69.6 W,504 mW,56.0 mW,29.9 W
2025-01-17 14:56:45,0 W,121 W,930 mW,58.1 mW,34.8 W
2025-01-17 14:57:00,0 W,105 W,267 mW,0 W,30.3 W
2025-01-17 14:57:15,0 W,104 W,161 mW,0 W,29.6 W
2025-01-17 14:57:30,0 W,137 W,424 mW,60.6 mW,35.0 W
2025-01-17 14:57:45,0 W,108 W,272 mW,0 W,26.8 W
2025-01-17 14:58:00,0 W,129 W,282 mW,113 mW,27.6 W
2025-01-17 14:58:15,0 W,119 W,279 mW,55.8 mW,27.1 W
2025-01-17 14:58:30,0 W,94.2 W,216 mW,0 W,27.5 W
2025-01-17 14:58:45,0 W,82.2 W,338 mW,0 W,29.0 W
2025-01-17 14:59:00,0 W,101 W,180 mW,60.0 mW,31.4 W
2025-01-17 14:59:15,0 W,111 W,307 mW,0 W,34.4 W
2025-01-17 14:59:30,0 W,62.1 W,269 mW,53.7 mW,27.0 W
2025-01-17 14:59:45,0 W,525 W,400 mW,0 W,45.3 W
2025-01-17 15:00:00,0 W,555 W,603 mW,100 mW,45.2 W
2025-01-17 15:00:15,0 W,573 W,562 mW,187 mW,52.6 W
2025-01-17 15:00:30,0 W,578 W,548 mW,91.4 mW,41.5 W
2025-01-17 15:00:45,0 W,525 W,522 mW,174 mW,53.0 W
2025-01-17 15:01:00,0 W,518 W,527 mW,0 W,39.9 W
2025-01-17 15:01:15,0 W,85.1 W,245 mW,0 W,30.4 W
2025-01-17 15:01:30,0 W,69.5 W,235 mW,0 W,29.4 W
2025-01-17 15:01:45,0 W,64.5 W,391 mW,55.8 mW,27.8 W
2025-01-17 15:02:00,0 W,67.3 W,280 mW,112 mW,28.0 W
2025-01-17 15:02:15,0 W,30.2 W,150 mW,262 mW,18.5 W
2025-01-17 15:02:30,0 W,132 W,189 mW,0 W,33.1 W
2025-01-17 15:02:45,0 W,83.1 W,172 mW,0 W,31.7 W
2025-01-17 15:03:00,0 W,69.0 W,323 mW,53.9 mW,28.5 W
2025-01-17 15:03:15,0 W,68.9 W,261 mW,52.2 mW,28.0 W
2025-01-17 15:03:30,0 W,77.2 W,371 mW,0 W,28.9 W
2025-01-17 15:03:45,0 W,91.3 W,693 mW,49.5 mW,27.4 W
2025-01-17 15:04:00,0 W,122 W,227 mW,0 W,31.4 W
2025-01-17 15:04:15,0 W,114 W,212 mW,0 W,26.1 W
2025-01-17 15:04:30,0 W,111 W,251 mW,50.2 mW,24.4 W
2025-01-17 15:04:45,0 W,146 W,225 mW,56.2 mW,27.1 W
2025-01-17 15:05:00,0 W,108 W,216 mW,54.0 mW,26.2 W
2025-01-17 15:05:15,0 W,90.8 W,326 mW,54.3 mW,30.0 W
2025-01-17 15:05:30,0 W,70.5 W,206 mW,0 W,28.0 W
2025-01-17 15:05:45,0 W,84.6 W,338 mW,56.3 mW,31.5 W
2025-01-17 15:06:00,0 W,69.7 W,221 mW,55.2 mW,28.2 W
2025-01-17 15:06:15,0 W,73.1 W,270 mW,54.1 mW,28.0 W
2025-01-17 15:06:30,0 W,67.8 W,217 mW,0 W,27.9 W
2025-01-17 15:06:45,0 W,128 W,252 mW,63.0 mW,32.8 W
2025-01-17 15:07:00,0 W,73.2 W,282 mW,56.4 mW,27.4 W
2025-01-17 15:07:15,0 W,502 W,480 mW,96.0 mW,44.8 W
2025-01-17 15:07:30,0 W,562 W,613 mW,0 W,46.1 W
2025-01-17 15:07:45,0 W,578 W,484 mW,96.7 mW,64.1 W
2025-01-17 15:08:00,0 W,578 W,464 mW,0 W,41.8 W
2025-01-17 15:08:15,0 W,550 W,635 mW,0 W,65.4 W
2025-01-17 15:08:30,0 W,522 W,429 mW,85.7 mW,38.2 W
2025-01-17 15:08:45,0 W,333 W,466 mW,77.7 mW,54.5 W
2025-01-17 15:09:00,0 W,90.2 W,312 mW,0 W,33.1 W
2025-01-17 15:09:15,0 W,68.2 W,289 mW,0 W,30.1 W
2025-01-17 15:09:30,0 W,64.7 W,168 mW,56.0 mW,28.5 W
2025-01-17 15:09:45,0 W,20.3 W,462 mW,0 W,17.5 W
2025-01-17 15:10:00,0 W,21.0 W,586 mW,68.9 mW,15.6 W
2025-01-17 15:10:15,0 W,52.1 W,393 mW,43.6 mW,22.6 W
2025-01-17 15:10:30,0 W,75.9 W,184 mW,0 W,22.7 W
