Type,Scenario Name,Compare with,Messages_per_second,Routing_Keys,Exchanges,Queues ,Consumers,Time_In_Seconds,Actual_Total_Input,Expected_Total_Input,Expected_Total_Output,Actual_Total_Output,Output_Input_Factor,On_Ready_State_RabbitMQ,Messages_Consumed,Messages_Not_Handled_From_RabbitMQ,Avg_Power_Consumption_mW,avg_Message_Rate,avg_disk_access_MB,avg_cpu_usage_%,avg_memory_usage_MB
Fanout,300_1_Fanout_3_1000,300_1_Direct_3_1000,300,3,3,1000,1000,1800,105463,540.000 ,180.000.000 ,35.154.333 ,333 ,18.510.959,16.643.374,144.845.667,"115327,5","58,59055556","83,69","21,13","7331,74"
Topic,100_1_Topic_100_100,100_1_Fanout_100_100,100,100,100,100,100,1800,175308,180.000 ,180.000 ,175.308 ,1 ,0,175.308,4.692,"1403,81","97,39333333",0,"0,74","191,18"
Topic,100_1_Topic_500_500,100_1_Fanout_500_500,100,500,500,500,500,1800,175375,180.000 ,180.000 ,175.375 ,1 ,0,175.375,4.625,"2412,69","97,43055556",0,"1,31","268,18"
Topic,100_1_Topic_1000_1000,100_1_Fanout_1000_1000,100,1000,1000,1000,1000,1800,175070,180.000 ,180.000 ,175.070 ,1 ,0,175.070,4.930,"2971,69","97,26111111",0,"1,5","321,23"
Topic,300_1_Topic_100_100,300_1_Fanout_100_100,300,100,100,100,100,1800,510133,540.000 ,540.000 ,510.133 ,1 ,0,510.133,29.867,3741.01,"283,4072222",0,"1,9","194,1"
Topic,300_1_Topic_500_500,300_1_Fanout_500_500,300,500,500,500,500,1800,509614,540.000 ,540.000 ,509.614 ,1 ,0,509.614,30.386,"4821,73","283,1188889",0,"2,45","287,82"
Topic,300_1_Topic_1000_1000,300_1_Fanout_1000_1000,300,1000,1000,1000,1000,1800,509024,540.000 ,540.000 ,509.024 ,1 ,0,509.024,30.976,"5699,85","282,7911111",0,"2,82","389,11"
Fanout,100_1_Fanout_100_100,100_1_Direct_100_100,100,100,100,100,100,1800,175580,180.000 ,180.000 ,175.580 ,1 ,0,175.580,4.420,"1321,9","97,54444444",0,"0,75","193,63"
Fanout,100_1_Fanout_500_500,100_1_Direct_500_500,100,500,500,500,500,1800,155013,180.000 ,180.000 ,155.013 ,1 ,0,155.013,24.987,"2169,91","86,11833333",0,"1,09","256,57"
Fanout,100_1_Fanout_1000_1000,100_1_Direct_1000_1000,100,1000,1000,1000,1000,1800,162409,180.000 ,180.000 ,162.409 ,1 ,0,162.409,17.591,"2657,33","90,22722222",0,"1,33","319,98"
Fanout,300_1_Fanout_100_100,300_1_Direct_100_100,300,100,100,100,100,1800,509578,540.000 ,540.000 ,509.578 ,1 ,0,509.578,30.422,"3103,79","283,0988889",0,"1,56","192,26"
Fanout,300_1_Fanout_500_500,300_1_Direct_500_500,300,500,500,500,500,1800,528573,540.000 ,540.000 ,528.573 ,1 ,0,528.573,11.427,"4441,17","293,6516667","0,02","2,2","289,56"
Fanout,300_1_Fanout_1000_1000,300_1_Direct_1000_1000,300,1000,1000,1000,1000,1800,515405,540.000 ,540.000 ,515.405 ,1 ,0,515.405,24.595,"5289,06","286,3361111",0,"2,65","396,46"
Direct,100_1_Direct_3_100,,100,3,1,100,100,1800,175810,180.000 ,6.000.000 ,5.860.333 ,33 ,0,5.860.333,139.667,"15691,76","97,67222222",0,"7,17","248,39"
Direct,100_1_Direct_3_500,,100,3,1,500,500,1800,177767,180.000 ,30.000.000 ,29.627.833 ,167 ,23.784.159,29.627.833,372.167,"124619,42","98,75944444","135,19","23,06","4704,67"
Direct ,100_1_Direct_3_1000,,100,3,1,1000,1000,1800,108608,180.000 ,60.000.000 ,36.202.667 ,333 ,26.858.365,36.202.667,23.797.333,"131837,93","60,33777778","126,79","23,84","7806,6"
Direct,300_1_Direct_3_100,,300,3,1,100,100,1800,528621,540.000 ,18.000.000 ,17.620.700 ,33 ,0,17.620.700,379.300,"41587,06","293,6783333",0,"16,23","305,1"
Direct,300_1_Direct_3_500,,300,3,1,500,500,1800,241746,540.000 ,90.000.000 ,40.291.000 ,167 ,26.636.208,40.291.000,49.709.000,"177771,49","134,3033333","134,77","30,14","7208,88"
Direct,300_1_Direct_3_1000,,300,3,1,1000,1000,1800,118093,540.000 ,180.000.000 ,39.364.333 ,333 ,32.007.200,39.364.333,140.635.667,"151291,26","65,60722222","158,84","26,07","10885,45"
Direct,100_1_Direct_100_100,,100,100,1,100,100,1800,177153,180.000 ,180.000 ,177.153 ,1 ,0,177.153,2.847,"1513,34","98,41833333",0,"0,73","185,87"
Direct,100_1_Direct_500_500,,100,500,1,500,500,1800,177757,180.000 ,180.000 ,177.757 ,1 ,0,177.757,2.243,"2255,48","98,75388889",0,"1,12","252,69"
Direct,100_1_Direct_1000_1000,,100,1000,1,1000,1000,1800,177691,180.000 ,180.000 ,177.691 ,1 ,0,177.691,2.309,"2829,67","98,71722222",0,"1,46","302,39"
Direct,300_1_Direct_100_100,,300,100,1,100,100,1800,528899,540.000 ,540.000 ,528.899 ,1 ,0,528.899,11.101,"3733,45","293,8327778",0,"1,85","191,46"
Direct,300_1_Direct_500_500,,300,500,1,500,500,1800,528665,540.000 ,540.000 ,528.665 ,1 ,0,528.665,11.335,"4622,04","293,7027778",0,"2,26","274,09"
Direct,300_1_Direct_1000_1000,,300,1000,1,1000,1000,1800,528830,540.000 ,540.000 ,528.830 ,1 ,0,528.830,11.170,"5531,35","293,7944444",0,"2,63","369,41"
